parameter,evergreen_broadleaf,deciduous_broadleaf,evergreen_needleleaf_conifer,local_deciduous_broadleaf,evergreen_broadleaf_Rhododendron,grass,shrub,evergreen_broadleaf (Schima/Quercus) | citation_short,deciduous_broadleaf (Sal) | citation_short,evergreen_needleleaf_conifer (Chir pine) | citation_short,local_deciduous_broadleaf | citation_short,evergreen_broadleaf_ericaceous (Rhododendron) | citation_short,grass | citation_short,shrub | citation_short
epc.alloc_frootc_leafc,0.5,0.5,0.5,0.5,0.5,1,1.4,Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.alloc_crootc_stemc,0.31,0.31,0.31,0.31,0.31,0,0.29,Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),Waring et al. (1982); White et al. (2000),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.alloc_stemc_leafc,1.12727273,0.91818182,0.93939394,1.09090909,1.18181818,0,0.22,Waring et al. (1982); Maharjan et al. (2021),Waring et al. (1982); Maharjan et al. (2021),Waring et al. (1982); Maharjan et al. (2021),Waring et al. (1982); Maharjan et al. (2021),Waring et al. (1982); Maharjan et al. (2021),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.alloc_livewoodc_woodc,0.12,0.12,0.12,0.12,0.12,0,1,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.maxlgf,0.05,0.05,0.05,0.05,0.05,0.05,0.05,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.alloc_prop_day_growth,0.32,0.32,0.32,0.32,0.32,0,0.5,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.height_to_stem_exp,0.57,0.57,0.57,0.57,0.57,0,0.57,Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.height_to_stem_coef,40,40,40,40,40,0.02,3.796666667,Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),Maharjan et al. (2021); White et al. (2000),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.branch_turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.coef_CO2,0.9,0.9,0.9,0.9,0.9,,,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),,
epc.waring_pa,0.8,0.8,0.8,0.8,0.8,,,Waring et al. (1982),Waring et al. (1982),Waring et al. (1982),Waring et al. (1982),Waring et al. (1982),,
